dateTime,Temperature,Humidity,Heater,Vent,Fan
2016-04-26 02:38:07,18.7,48.6,40,31,42
2016-04-26 02:38:37,18.7,48.4,40,31,42
2016-04-26 02:39:07,18.7,47.7,40,31,42
2016-04-26 02:39:37,18.7,47.7,40,31,42
2016-04-26 02:40:17,18.7,47.7,40,31,42
2016-04-26 02:40:37,18.7,48.1,40,31,32
2016-04-26 02:41:07,18.7,49.0,40,31,42
2016-04-26 02:41:37,18.7,49.1,40,31,42
2016-04-26 02:42:07,18.7,49.0,40,31,42
2016-04-26 02:42:37,18.5,48.7,40,41,42
2016-04-26 02:43:07,18.3,46.8,40,31,42
2016-04-26 02:43:37,18.2,47.3,40,31,42
2016-04-26 02:44:07,18.2,49.3,40,31,32
2016-04-26 02:44:37,18.2,48.6,40,31,42
2016-04-26 02:45:07,18.2,47.5,40,31,42
2016-04-26 02:45:37,18.3,47.8,40,31,42
2016-04-26 02:46:07,18.3,48.4,40,31,42
2016-04-26 02:46:49,18.3,48.1,40,31,42
2016-04-26 02:47:07,18.3,47.7,40,31,42
2016-04-26 02:47:39,18.4,49.8,40,31,32
2016-04-26 02:48:07,18.3,49.0,40,31,42
2016-04-26 02:48:39,18.4,48.4,40,31,42
2016-04-26 02:49:07,18.4,48.4,40,31,42
2016-04-26 02:49:37,18.4,47.6,40,31,42
2016-04-26 02:50:09,18.4,48.2,40,31,42
2016-04-26 02:50:37,18.4,48.2,40,31,42
2016-04-26 02:51:07,18.4,50.7,40,31,32
2016-04-26 02:51:37,18.4,49.3,40,31,42
2016-04-26 02:52:07,18.4,48.3,40,31,42
2016-04-26 02:52:37,18.4,47.1,40,31,42
2016-04-26 02:53:07,18.3,47.7,40,31,42
2016-04-26 02:53:39,18.3,47.3,40,31,42
2016-04-26 02:54:07,18.4,47.6,40,31,42
2016-04-26 02:54:38,18.4,48.9,40,31,32
2016-04-26 02:55:08,18.3,48.8,40,31,42
2016-04-26 02:55:38,18.3,46.6,40,31,42
2016-04-26 02:56:08,18.3,47.7,40,31,42
2016-04-26 02:56:38,18.4,48.8,40,31,42
2016-04-26 02:57:08,18.4,48.2,40,31,42
2016-04-26 02:57:38,18.4,47.9,40,31,42
2016-04-26 02:58:10,18.4,50.7,40,31,32
2016-04-26 02:58:38,18.4,49.2,40,31,42
2016-04-26 02:59:12,18.4,48.5,40,31,42
2016-04-26 02:59:38,18.4,48.2,40,31,42
2016-04-26 03:00:08,18.3,48.5,40,31,42
2016-04-26 03:00:38,18.4,48.4,40,31,42
2016-04-26 03:01:08,18.3,48.2,40,31,42
2016-04-26 03:01:38,18.2,49.6,40,41,32
2016-04-26 03:02:08,18.1,47.1,40,31,42
2016-04-26 03:02:38,18.0,45.8,40,31,42
2016-04-26 03:03:10,18.0,45.7,40,31,42
2016-04-26 03:03:38,18.0,46.3,40,31,42
2016-04-26 03:04:08,18.0,47.0,40,31,42
2016-04-26 03:04:38,18.0,47.0,40,31,42
2016-04-26 03:05:08,18.0,48.4,40,31,32
2016-04-26 03:05:38,18.1,47.7,40,31,42
2016-04-26 03:06:06,18.1,47.7,40,31,42
2016-04-26 03:06:36,18.1,47.8,40,31,42
2016-04-26 03:07:06,18.1,48.3,40,31,42
2016-04-26 03:07:36,18.1,47.6,40,31,42
2016-04-26 03:08:06,18.1,47.4,40,31,42
2016-04-26 03:08:36,18.1,49.2,40,31,32
2016-04-26 03:09:06,18.1,48.1,40,31,42
2016-04-26 03:09:36,18.1,48.2,40,31,42
2016-04-26 03:10:06,18.1,47.5,40,31,42
2016-04-26 03:10:36,18.1,47.7,40,31,42
2016-04-26 03:11:08,18.1,47.2,40,31,42
2016-04-26 03:11:36,18.2,47.4,40,31,42
